domain,topic_id,topic_label,abstract_count,abstract_share,feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,standardized_slope_change_per_year,standardized_slope_change_per_year_se,standardized_slope_change_per_year_ci_low,standardized_slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,slope_change_q,level_shift_q
arxiv,0,"learning, data, model, models, neural, training, based",144427,0.3586439634172082,automated_readability_index,readability,2022-11-30,136,95,41,18.619697769523285,20.22730502067728,0.2506238129143928,0.006429170642809743,0.07715004771371692,-0.19843406665183394,0.09508986132909612,-0.3848101948568623,-0.012057938446805555,0.036905699769889444,0.06482128934268083,0.77785547211217,0.0033538659081036094,0.040246390897243314,0.698972545953573,0.8567383982707669,3.103677432191438,0.16058486394104354,2.7889310988669926,3.418423765515884,3.163427214494942e-83,0.07125045998549058,0.855005519825887,0.9818273942111209,monthly_segmented_wls_hac,6,3.163427214494942e-83,0.08611329946307537
arxiv,0,"learning, data, model, models, neural, training, based",144427,0.3586439634172082,avg_syllables_per_word,readability,2022-11-30,136,95,41,1.9025015106428111,1.988831079101001,0.01193502222301144,0.00024866796663027566,0.002984015599563308,-0.003037590037066447,0.002450407016019063,-0.00784038778846381,0.0017652077143309169,0.21511348908511616,0.003444045002653735,0.04132854003184482,0.00012409348655268075,0.0014891218386321689,0.03840986122812577,0.04424721883556387,3.4627953982491055,0.12476908805088377,3.2182479856693735,3.707342810828838,1.5751874692524848e-169,0.0036927129692840106,0.044312555631408124,0.9878510485402509,monthly_segmented_wls_hac,6,1.837718714127899e-169,0.30115888471916263
arxiv,0,"learning, data, model, models, neural, training, based",144427,0.3586439634172082,clause_depth,syntax,2022-11-30,136,95,41,11.448281464490611,11.283857132803536,0.14977984588862694,0.0006131566990944717,0.00735788038913366,0.175276743724814,0.03000472211115224,0.11646748838695561,0.23408599906267238,5.168983847381399e-09,-0.01871519619724671,-0.2245823543669605,0.0013079400946807136,0.015695281136168564,-0.2553451053938509,-0.19381960334007012,-1.4994163803183178,0.10478900577744776,-1.7048028316421158,-1.2940299289945203,1.925088341147302e-46,-0.018102039498152235,-0.21722447397782682,0.8413081249539732,monthly_segmented_wls_hac,6,3.850176682294604e-46,1.0337967694762798e-08
arxiv,0,"learning, data, model, models, neural, training, based",144427,0.3586439634172082,dale_chall,readability,2022-11-30,136,95,41,13.100921329482318,13.920054408815473,0.12497632008332243,0.004473356217152881,0.05368027460583458,-0.06135436186717319,0.021414897760506157,-0.10332756147776526,-0.019381162256581125,0.0041696744171630185,0.02760141475076409,0.3312169770091691,0.0007073679070001157,0.008488414884001389,0.31457968383652635,0.3478542701818118,2.6502378753698683,0.06792018582673993,2.517114311149458,2.783361439590279,0.0,0.03207477096791697,0.38489725161500365,0.9926507364840692,monthly_segmented_wls_hac,6,0.0,0.02918772092014113
arxiv,0,"learning, data, model, models, neural, training, based",144427,0.3586439634172082,em_dash_per_1k_words,punctuation,2022-11-30,136,95,41,0.4111310869096588,0.4819546336758842,0.14245409973577497,-0.00036742866244243136,-0.004409143949309176,-0.24444827449475975,0.08473433264185969,-0.41052756647280475,-0.07836898251671479,0.0039156445462308785,0.01623679735603908,0.19484156827246896,0.003458295672102849,0.04149954806523419,0.11350245406460997,0.27618068248032795,1.3677498129844117,0.2913187345412164,0.7967650932836279,1.9387345326851957,2.6656932418734787e-06,0.01586936869359665,0.19043242432315982,0.6131553317682616,monthly_segmented_wls_hac,6,2.6656932418734787e-06,0.0039156445462308785
arxiv,0,"learning, data, model, models, neural, training, based",144427,0.3586439634172082,emphasis_marker_particularly_per_1k_words,emphasis_markers,2022-11-30,136,95,41,0.1569170882946944,0.3911129041264607,0.06034295041496612,2.0783669361969803e-05,0.00024940403234363764,0.12028805906323582,0.05405573307812915,0.014338822230102688,0.22623729589636896,0.0260637909333399,0.005639925391978096,0.06767910470373716,0.002533182379724748,0.030398188556696973,0.008098655132611082,0.12725955427486324,1.121574338648041,0.5037570809457418,0.13421045999438688,2.108938217301695,0.02598612869039909,0.005660709061340066,0.06792850873608079,0.7879100484329762,monthly_segmented_wls_hac,6,0.02598612869039909,0.0260637909333399
arxiv,0,"learning, data, model, models, neural, training, based",144427,0.3586439634172082,emphasis_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,136,95,41,0.30356457087746846,0.6764528460991484,0.08111319927105569,0.0006914758879017748,0.008297710654821298,0.19166259831528254,0.07400533667378803,0.046612138434658,0.3367130581959071,0.009601822331648406,0.006882001940471924,0.08258402328566308,0.0031741919716622045,0.03809030365994645,0.007927028112168041,0.15724101845915814,1.018132979932062,0.4695943940351831,0.09772796762310311,1.9385379922410209,0.03015020830872236,0.007573477828373699,0.09088173394048439,0.8511392887874554,monthly_segmented_wls_hac,6,0.03015020830872236,0.009601822331648406
arxiv,0,"learning, data, model, models, neural, training, based",144427,0.3586439634172082,flesch_kincaid_grade,readability,2022-11-30,136,95,41,16.565960441218426,17.60108195549567,0.16664915594447405,0.0014940202201258164,0.017928242641509797,-0.06456438569749312,0.04050315676589467,-0.14395057295864666,0.014821801563660433,0.11092301920815566,0.04693359335188256,0.5632031202225907,0.0013837120185021495,0.016604544222025792,0.5306582135474203,0.5957480268977613,3.3795737940025616,0.09963773370420353,3.1842838359423236,3.5748637520628006,3.5418351872555965e-252,0.04842761357200838,0.5811313628641006,0.9789699585012239,monthly_segmented_wls_hac,6,4.958569262157835e-252,0.1941152836142724
arxiv,0,"learning, data, model, models, neural, training, based",144427,0.3586439634172082,flesch_reading_ease,readability,2022-11-30,136,95,41,18.459619532654315,10.15975880408494,1.0978888911855436,-0.026488298458740824,-0.3178595815048899,0.564820463500388,0.22940617203441133,0.11518436631294177,1.0144565606878342,0.01381269425375001,-0.33511505160486343,-4.021380619258361,0.00750668161039249,0.09008017932470988,-4.197937770734793,-3.84482346778193,-3.6628302294924544,0.08204853883477932,-3.8236453656086224,-3.5020150933762872,0.0,-0.3616033500636043,-4.339240200763252,0.9893431201956278,monthly_segmented_wls_hac,6,0.0,0.04834442988812503
arxiv,0,"learning, data, model, models, neural, training, based",144427,0.3586439634172082,gunning_fog,readability,2022-11-30,136,95,41,19.539962041638148,20.964156853009076,0.189530658586166,0.00361687177636192,0.04340246131634304,-0.028204793953013674,0.04505214256690804,-0.11650699338415342,0.06009740547812607,0.5312836006723209,0.05745101781867748,0.6894122138241298,0.001531803807770037,0.018381645693240446,0.6533841882653786,0.7254402393828809,3.6374706813499698,0.09698507793072238,3.4473799286057547,3.8275614340941853,7.502058288041613e-308,0.0610678895950394,0.7328146751404728,0.9849206178745818,monthly_segmented_wls_hac,6,1.7504802672097097e-307,0.6198308674510411
arxiv,0,"learning, data, model, models, neural, training, based",144427,0.3586439634172082,list_of_three_per_1k_words,syntax,2022-11-30,136,95,41,2.822769580462011,3.491094163600331,0.30182172641270233,0.0028249419124310926,0.03389930294917311,-0.2677754203359906,0.14435275194261063,-0.5507068141435074,0.015155973471526196,0.06359517255627872,0.03440556123806422,0.41286673485677067,0.004260896338198736,0.051130756058384824,0.3126504529823364,0.5130830167312049,1.3679158878450937,0.16940714197781143,1.0358778895685832,1.6999538861216041,6.762953097070713e-16,0.037230503150495316,0.4467660378059438,0.8601287978494149,monthly_segmented_wls_hac,6,6.762953097070713e-16,0.06359517255627872
