scope,stage,topic_id,topic_label,metric,value
dataset,all,,,total_abstracts,82011.0
dataset,all,,,topics,9.0
dataset,all,-1.0,-1 (outliers),outlier_abstract_count,0.0
dataset,all,-1.0,-1 (outliers),outlier_abstract_share,0.0
topic,model,0.0,"sars, sars cov, vaccine, vaccination, hiv, epidemic, antibody",abstract_count,30109.0
topic,model,0.0,"sars, sars cov, vaccine, vaccination, hiv, epidemic, antibody",abstract_share,0.3671336771896453
topic,model,1.0,"diabetes, gwas, genome wide, kidney, prs, type diabetes, traits",abstract_count,13512.0
topic,model,1.0,"diabetes, gwas, genome wide, kidney, prs, type diabetes, traits",abstract_share,0.16475838607016133
topic,model,2.0,"coronary, cvd, asthma, ischemic, atrial, ventricular, heart failure",abstract_count,10448.0
topic,model,2.0,"coronary, cvd, asthma, ischemic, atrial, ventricular, heart failure",abstract_share,0.12739754423187133
topic,model,4.0,"mental health, maternal, pregnancy, 19 pandemic, mothers, school, opioid",abstract_count,9994.0
topic,model,4.0,"mental health, maternal, pregnancy, 19 pandemic, mothers, school, opioid",abstract_share,0.12186170147906988
topic,model,3.0,"alzheimers, tau, alzheimers disease, asd, eeg, autism, amyloid",abstract_count,8347.0
topic,model,3.0,"alzheimers, tau, alzheimers disease, asd, eeg, autism, amyloid",abstract_share,0.10177902964236504
topic,model,5.0,"gpt, llm, ehr, electronic health, nlp, notes, models llms",abstract_count,6595.0
topic,model,5.0,"gpt, llm, ehr, electronic health, nlp, notes, models llms",abstract_share,0.08041604175049688
topic,model,6.0,"retinal, glaucoma, macular, caries, diabetic, ocular, amd",abstract_count,1660.0
topic,model,6.0,"retinal, glaucoma, macular, caries, diabetic, ocular, amd",abstract_share,0.020241187157820292
topic,model,8.0,"breast, yidixie, pet, breast cancer, radiomics, hnc, gy",abstract_count,961.0
topic,model,8.0,"breast, yidixie, pet, breast cancer, radiomics, hnc, gy",abstract_share,0.011717940276304397
topic,model,7.0,"hearing loss, tinnitus, cochlear, auditory, hearing aids, hearing aid, speech perception",abstract_count,385.0
topic,model,7.0,"hearing loss, tinnitus, cochlear, auditory, hearing aids, hearing aid, speech perception",abstract_share,0.0046944922022655496
