topic_id,abstract_count,abstract_share,topic_label,passes_min_share,passes_min_count,selected
6041,178070,0.4421869218754268,"quantum, policy, medical, reinforcement learning, reinforcement, federated, clinical",True,True,True
0,12141,0.030148769688827747,"robot, policy, rl, imitation, imitation learning, reinforcement learning, reinforcement",True,True,True
1,4842,0.012023749512668144,"vqa, captioning, captions, visual question, multimodal, visual, vision language",True,True,True
2,3668,0.009108449651480123,"chest, medical image, lung, radiology, tumor, medical, chest ray",True,True,True
3,3021,0.007501806542290472,"clinical, medical, ehr, clinical notes, patient, notes, electronic health",True,True,True
4,2605,0.0064687871706940354,"fl, federated, federated learning, clients, client, learning fl, global model",True,True,True
5,2473,0.006141002177783627,"asr, speech, speech recognition, automatic speech, tts, ctc, recognition asr",True,True,True
6,2327,0.00577845210986757,"pdes, pinns, pde, physics informed, partial differential, informed neural, equations",True,True,True
7,2264,0.005622009272342148,"molecular, drug, molecules, crystal, molecule, docking, chemical",True,True,True
8,1891,0.0046957683454059195,"causal, causal discovery, treatment effects, observational, treatment effect, treatment, causal inference",False,True,False
9,1756,0.00436053369356573,"adversarial examples, adversarial, adversarial training, adversarial attacks, adversarial robustness, attacks, adversarial perturbations",False,True,False
10,1696,0.00421154051497009,"cot, reasoning, rlvr, lrms, reasoning models, overthinking, thought",False,True,False
11,1633,0.004055097677444668,"gnns, node, node classification, graph, graph neural, heterophily, gnn",False,True,False
12,1535,0.0038117421524051223,"jailbreak, jailbreak attacks, jailbreaking, harmful, safety alignment, prompt injection, refusal",False,True,False
13,1523,0.003781943516685994,"music, musical, music generation, symbolic music, lyrics, piano, melody",False,True,False
14,1477,0.003667715413096004,"relu, width, relu networks, grokking, ntk, activation functions, activation",False,True,False
15,1401,0.003478990720208193,"driving, signal control, traffic signal, autonomous driving, traffic, trajectory prediction, lane",False,True,False
16,1393,0.003459124963062108,"bandits, bandit, arm, regret, arms, armed, multi armed",False,True,False
17,1315,0.003265433830887776,"fairness, fair, algorithmic fairness, unfairness, group fairness, counterfactual fairness, sensitive attributes",False,True,False
18,1275,0.003166105045157349,"finite sum, nonconvex, strongly convex, convex, svrg, nonsmooth, stochastic",False,True,False
19,1266,0.0031437560683680033,"emotion, emotion recognition, speech emotion, ser, emotions, empathy, emotional",False,True,False
20,1249,0.003101541334432572,"traffic, mobility, human mobility, traffic forecasting, traffic flow, travel, traffic prediction",False,True,False
21,1237,0.003071742698713444,"recommendation, item, user item, recommender, sequential recommendation, recommender systems, collaborative filtering",False,True,False
22,1222,0.003034494404064534,"explanations, xai, explanation, explanation methods, xai methods, attribution, attribution methods",False,True,False
23,1204,0.002989796450485842,"series forecasting, time series, series, forecasting, series classification, multivariate time, tsf",False,True,False
24,1199,0.0029773803522695386,"machine translation, translation, nmt, mt, neural machine, qe, translation quality",False,True,False
25,1169,0.0029028837629717186,"agent, agentic, agents, tool use, llm agents, multi agent, long horizon",False,True,False
26,1168,0.0029004005433284578,"sentiment, absa, aspect based, sentiment analysis, based sentiment, aspect, sentiment classification",False,True,False
27,1142,0.0028358368326036804,"quantum, quantum machine, quantum circuits, qubit, variational quantum, quantum neural, quantum circuit",False,True,False
28,1017,0.0025254343771960973,"stock, financial, stock price, market, price, trading, stock market",False,True,False
29,980,0.0024335552503954526,"summarization, abstractive, summaries, abstractive summarization, document summarization, text summarization, extractive",False,True,False
30,912,0.0022646963146537276,"eeg, bci, brain computer, fmri, motor imagery, eeg signals, brain",False,True,False
31,904,0.0022448305575076422,"galaxy, galaxies, solar, cosmological, exoplanet, light curves, stellar",False,True,False
32,895,0.002222481580718296,"mimo, channel estimation, csi, radio, mimo systems, channel, ofdm",False,True,False
